Organization,Link,Sentence,isWayback,Label
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/25f5bab1-1680-4191-9d35-658415444f2f,"The Offering was conducted in two tranches consisting of $500 million in senior unsecured medium-term notes, series 6 (the ""Series 6 Notes"") having a fixed coupon of 4.24 percent per annum, paid semi-annually, and maturing on June 15, 2027, and $100 million principal amount through the re-opening of the Company's 4.75 percent medium-term notes, series 3, due April 30, 2043 (the ""Series 3 Notes"").",True,0
Canadian Natural Resources,https://www.cnrl.com/upload/media_element/1388/12bdd00af91d/0505-q122-front-end.pdf,"Refer to the ""Non-GAAP and Other Financial Measures"" section of Company's MD&A for the three months ended March 31, 2022, dated May 4, 2022 for more details on net capital expenditures.",True,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123753&lang=en,"Enbridge is collecting interim tolls, which are subject to refund, related to its July 1, 2021 Lakehead cost-of-service filing.",False,0
Canadian Natural Resources,https://www.cnrl.com/content/uploads/2022/12/1103-Q322-Front-End.pdf,"Canadian Natural generated approximately $5.2 billion in adjusted funds flow in the third quarter, resulting in free cash flow of approximately $1.7 billion, after total dividends payments of approximately $2.5 billion and base capital expenditures of approximately $1.0 billion, excluding net acquisitions and strategic growth capital.",True,0
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/c650dd33-5568-4c48-a44f-9975539757f7,"Dividends on the preferred shares Series 23 and 25 are payable on the 15th day of February, May, August and November in each year, if, as and when declared by the Board of Directors to shareholders of record on the last business day of the preceding month, or, if such payment or record date is not a business day, the next succeeding business day after the weekend or statutory holiday.",False,0
Canadian Natural Resources,https://www.cnrl.com/content/uploads/2025/08/0807-Q225-Front-End.pdf,"Canadian Natural continues to maintain a strong balance sheet and financial flexibility, with approximately $4.8 billion in liquidity (1) as at June 30, 2025.",False,0
Suncor Energy,http://web.archive.org/web/20220704151312/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2012/2012-12-03-suncor-energy-announces-2013-capital-spending-plan-and-production-outlook-en.pdf?modified=20210902050717,"Forward-looking statements in this news release include references to the following: anticipated capital spending, which Suncor believes demonstrates its commitment to be absolutely diligent in pursuing those projects expected to provide profitable, long-term growth for shareholders; anticipated production for 2013; plans to reduce In Situ growth capital substantially as compared to prior years; plans to begin 2013 with a strong balance sheet and the ability to fund Suncor's capital program from internal cash flow; expectation for first oil at Firebag 4 by the end of 2012; intent to reach a decision on Voyageur by the end of the first quarter of 2013; and goal to reduce oil sands cash costs.",True,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123625&lang=en,"Today, the Canada Energy Regulator (CER) announced that the regulatory process for Enbridge Inc.'s (TSX: ENB) (NYSE: ENB) proposal to offer contracted transportation service on the Mainline pipeline system will proceed in a single phase hearing process that balances the need to address pandemic-related challenges and the Commission's mandate to adjudicate in an appropriately expeditious manner.",True,0
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/01a33107-258e-4eda-b45e-ca942a3d976b,"Additional information relating to such non-GAAP financial measures and non-GAAP ratios, including disclosure of the composition of each non-GAAP financial measure and non-GAAP ratio, an explanation of how each non-GAAP financial measure and non-GAAP ratio provides useful information to investors and the additional purposes, if any, for which management uses each non-GAAP financial measure and non-GAAP ratio; an explanation of the reason for any change in the label or composition of each non-GAAP financial measure and non-GAAP ratio from what was previously disclosed; and a description of any significant difference between forward-looking non-GAAP financial measures and the equivalent historical non-GAAP financial measures, is contained in the ""Non-GAAP & Other Financial Measures"" section of the management's discussion and analysis of Pembina dated February 22, 2024 for the year ended December 31, 2023 (the ""MD&A""), which information is incorporated by reference in this news release.",False,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123718&lang=en,"Beneficial holders of Series B Shares and Series C Shares who wish to exercise their respective rights of conversion during the conversion periods applicable to the Series B Shares and the Series C Shares, each of which runs from May 2, 2022, until 5:00 p.m. (EST) on May 17, 2022, should communicate as soon as possible with their broker or other intermediary for more information.",True,0
Suncor Energy,http://web.archive.org/web/20220701130341/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2011/2011-03-03-suncor-energy-reports-2010-fourth-quarter-results-en.pdf?modified=20210902050623,Two seismic survey projects continued to acquire data in relation to the Libyan Exploration and Production Sharing Agreements (EPSA's) in 2010.,True,0
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/c8f37bc6-7e6a-480b-8afd-c78c10c51abf,"Accordingly, actual costs can vary from initial estimates and these differences can be significant.",True,0
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/f1d91820-2686-4920-b838-8d94f833a065,This increase was due to increased EBITDA and lower net interest paid.,True,0
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/48223166-81f6-4563-a5a3-e327146dd7a8,Management approved the revised 2022 adjusted EBITDA guidance contained herein as of the date of this news release.,True,0
Suncor Energy,http://web.archive.org/web/20220701140707/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2010/2010-11-04-suncor-energy-reports-2010-third-quarter-results-en.pdf?modified=20210902050613,"In September, Suncor marked an industry milestone, becoming the first oil sands company to complete surface reclamation of a tailings pond, a key step in returning the site back to nature.",True,1
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/6013c21e-4389-49d8-8f53-023e19e8f84a,"The Company's earnings increased to $93.8 million ($0.30 per share) during the second quarter of 2013 due to stronger operating results from each of Pembina's businesses compared to $80.4 million ($0.28 per share) during the second quarter of 2012, which included significant unrealized gains on commodity-related derivative financial instruments.",False,0
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2024/2024-12-12-news-release-suncor-energy-announces-2025-corporate-guidance-en.pdf?modified=20241212114623&created=20241212112151,"For definitions of Economic Investment and Asset Sustainment and Maintenance capital expenditures, see the Capital Investment Update section of Suncor's Management's Discussion and Analysis for the Third Quarter of 2024 dated November 12, 2024 (the ""MD&A""), available at www.",False,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123758&lang=en,We continue to build on our integrated 'super system' to serve today's and tomorrow's growing domestic and export market demand.,False,0
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/fa8f1d4a-3f24-4e91-b435-4a123e88749f,"The Company expects that the West Coast Terminal will provide the growing western Canadian propane supply with access to large, international markets while complementing Pembina's expanding integrated service offering for NGL.",True,0
Suncor Energy,http://web.archive.org/web/20220704162154/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2009/2009-02-25-suncor-energy-invests-13-8-million-in-charitable-and-non-profit-groups-en.pdf?modified=20210902050516, Announced $2 million over five years to the Telus World of Science - Calgary.,True,0
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/c8f37bc6-7e6a-480b-8afd-c78c10c51abf,"If the Company concludes, for a finance lease, that it is impracticable to separate the payments reliably, an asset and liability are recognized at an amount equal to the fair value of the underlying asset.",False,0
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/dbb773ae-26bd-4f6e-808d-f8716a632c25,"CALGARY, Sept. 2, 2014 /CNW/ - Pembina Pipeline Corporation (""Pembina"" or ""the Company"") (TSX: PPL; NYSE: PBA) is pleased to announce that it has selected the site for the Company's planned West Coast propane export terminal project (the ""West Coast Terminal"" or the ""Project"").",True,0
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/39170c18-b013-48b5-8761-93ac5f7f811b,"The project is underpinned by a long-term, cost-of-service agreement with an anchor tenant.",True,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123749&lang=en,"Forward-looking information or statements in this news release include statements with respect to Enbridge's intention to commence the NCIB, the purpose of the NCIB, and the timing, methods and quantity of any purchases of common shares under the NCIB.",True,0
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/49eea6f7-21ad-4cea-bafa-b4dd4aa67700,The Transaction is expected to result in an organization that has enhanced capabilities to progress projects of increasing scale and complexity than the companies could on a standalone basis.,True,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123651&lang=en,"In fact, only three months ago the safety of the Dual Pipelines was reviewed by our regulator and the Pipelines were found to be fit for service.",True,0
Suncor Energy,http://web.archive.org/web/20220703210501/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2009/2009-04-23-suncor-energy-releases-first-quarter-results-for-2009-en.pdf?modified=20210902050519,"quarter's production numbers are a real testament to this work and should position us well for good results in 2009, particularly if crude prices hold up.'",True,0
Canadian Natural Resources,https://www.cnrl.com/content/uploads/2025/12/1216-2026-Budget.pdf,"46  new  wells  on  existing  mature  pads,  which  access  additional  reservoir  and  bring  forward  reserves  while optimizing Steam to Oil Ratios (""SOR"").",False,0
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/9a94bfed-f167-4c66-b11e-f553a73ad88e,"For further details on the Company's significant assets, including definitions for capitalized terms used herein",True,0
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/62f8910e-79ed-4e6f-8425-4db7e0498487,The hybrid subordinated debt securities considered to be offered have not been approved or disapproved by any regulatory authority.,False,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123687&lang=en,"Forward-looking information or statements included or incorporated by reference in this document include, but are not limited to, statements with respect to the following: Enbridge's corporate vision and strategy; 2021 financial guidance; the COVID-19 pandemic and the duration and impact thereof; energy intensity and emissions reduction targets; diversity and inclusion goals; the expected supply of, demand for and prices of crude oil, natural gas, natural gas liquids, liquified natural gas and renewable energy; anticipated utilization of our existing assets, including throughput on the Mainline; expected EBITDA and expected adjusted EBITDA; expected earnings/(loss) and adjusted earnings/(loss); expected DCF and DCF per share; expected future cash flows; expected dividend growth and payout ratio; expected performance of the Company's businesses; expected debt-to-EBITDA ratio; financial strength and flexibility and investment capacity; capital allocation priorities; expectations on sources of liquidity and sufficiency of financial resources; expected in-service dates and costs related to announced projects and projects under construction and for maintenance, including B.C. Pipeline Systems expansions; expected future growth and expansion opportunities; expected benefits of transactions, including the use of proceeds and realization of efficiencies and synergies; expected future actions and decisions of regulators and courts and the timing and impact thereof; toll and rate case discussions and filings, including Mainline Contracting, and the anticipated benefits thereof; Line 3 Replacement Project, including anticipated in-service date, capital costs, EBITDA and cash flow contribution and economics; and Line 5 dual pipelines, the Great Lakes Tunnel Project and related matters.",True,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123626&lang=en,"The Bremen-based German company operates in 25 countries worldwide and has realized wind energy projects with around 2,270 wind turbines and an output of 4,720 MW.",True,1
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/f1d91820-2686-4920-b838-8d94f833a065,The financial performance of NGL midstream can be affected by the seasonal demand for propane.,True,0
Suncor Energy,http://web.archive.org/web/20220703210918/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2010/2010-05-04-suncor-energy-reports-2010-first-quarter-results-en.pdf?modified=20210902050554,"To date, Suncor has disposed of, or reached agreements to dispose of, assets for aggregate consideration of approximately $1.5 billion.",True,0
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/3852f924-a438-4746-9488-30a9e0c10248,"Following successfully contracting the Nipisi Pipeline to serve growing volumes from the Clearwater area, Pembina expects the pipeline to be highly utilized in 2026.",False,0
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/22976793-6ff8-46c4-a49f-4ef4bb004466,"Operating margin from Redwater West during the first quarter of 2013, excluding realized losses from commodity-related derivative financial instruments, was $55.9 million.",True,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123787&lang=en,Enbridge has filed applications for all key federal and state required regulatory approvals to complete the pending Acquisitions and approximately 75% of the financing for the aggregate purchase price has been secured,False,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123769&lang=en,the timing of maintenance capital spend; and,False,0
Suncor Energy,http://web.archive.org/web/20220704154303/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2009/2009-03-19-suncor-energy-recognizes-operational-excellence-leaders-at-awards-ceremony-en.pdf?modified=20210902050517,"Fort McMurray, Alberta",True,0
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/af2415eb-3e55-48a0-b4b3-2ccfa050682c,"Pembina will host a conference call on March 4, 2013 at 8 a.m. MT (10 a.m. ET) to discuss details related to the 2012 fourth quarter and full year.",False,0
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/f95387cc-3cdd-44c2-86fd-76b0eefbe7a7,"In addition, the fourth quarter impact was partially offset by higher current tax expense and the full year impact was partially offset by an increase in preferred share dividends following the Kinder Acquisition.",False,0
Suncor Energy,http://web.archive.org/web/20221007100932/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2020/2020-07-22-suncor-energy-reports-second-quarter-2020-results-en.pdf?modified=20220917162521,"Non-upgraded bitumen production decreased to 117,100 bbls/d in the second quarter of 2020 from 208,000 bbls/d in the second quarter of 2019, as the company reduced production in response to a weaker business environment, including temporarily transitioning to a one-train operation at Fort Hills, Firebag bitumen being diverted to the upgrader to maximize value over volume and the ramp up at MacKay River, which returned to operations late in the second quarter of 2020.",True,0
Canadian Natural Resources,https://www.cnrl.com/upload/media_element/1290/01/0507-q120-front-end.pdf,"The Company has the flexibility to shift timelines to ensure minimal, if any overlapping activities between the two sites, maximizing high value SCO production and operating cash flows.",True,0
Suncor Energy,http://web.archive.org/web/20221007085934/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2021/2021-10-01-nr-su-ownership-of-syncrude-en.pdf?modified=20220907174724,"The arrangement, which has the full support of the Syncrude joint venture owners and was initially announced in the fourth quarter of 2020, reflects Suncor's confidence in the Syncrude asset and is part of a multi-year strategy to improve its operational performance, efficiency and competitiveness.",True,0
Suncor Energy,http://web.archive.org/web/20220703200905/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2011/2011-06-07-suncor-st-clair-ethanol-plant-safely-achieves-one-billion-litre-production-milestone-en.pdf?modified=20210902050631,"Suncor Energy Inc. reported today that its St. Clair ethanol plant achieved a production milestone of one billion litres of ethanol in May 2011, just short of its fifth anniversary.",True,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123611&lang=en,"On January 16, 2020, the CER issued a letter inviting comments from interested persons to identify issues to be considered during the regulatory proceeding and on procedural matters, such as processes the CER may establish to consider the application efficiently.",True,0
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/c8f37bc6-7e6a-480b-8afd-c78c10c51abf,"On closing, Pembina assumed all of the rights and obligations of Provident relating to the 5.75 percent convertible unsecured subordinated debentures of Provident maturing December 31, 2017, and the 5.75 percent convertible unsecured subordinated debentures of Provident maturing December 31, 2018 (collectively, the ""Provident Debentures"").",False,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123859&lang=en,Eliminations and Other adjusted EBITDA decreased $119 million compared with the second quarter of 2024 due to:,False,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123817&lang=en,These projects further highlight our commitment to being a leader in the energy transition and providing clean and secure energy to the region.,True,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123638&lang=en,"In addition, the Company filed a regulatory application to the Michigan Public Service Commission for replacement of the Line 5 pipeline into a tunnel.",True,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123674&lang=en,The first quarter of 2021 was not impacted by any material impairments.,False,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123688&lang=en,"""These executive appointments once again illustrate our ongoing emphasis on developing our people and further strengthening our executive team for the future,"" said Al Monaco, President & Chief Executive Officer of Enbridge.",False,0
Suncor Energy,http://web.archive.org/web/20220704161056/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2013/2013-05-23-fuelling-athletes-and-coaching-excellence-program-recipients-announced-en.pdf?modified=20210902050729,"There is no doubt that the sport movement is transforming and gaining momentum in Canada, and they have been at the forefront of that much needed change.'",True,0
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/af2415eb-3e55-48a0-b4b3-2ccfa050682c,The increases in revenue and operating margin contributed to gross profit of $172.1 million during the fourth quarter and $538.7 million for the full year of 2012 compared to $87.2 million and $354.3 million for the same periods of 2011.,True,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123743&lang=en,"About one hundred people will continue to be employed at the site to help ensure the operation and maintenance of the wind farm in La Turballe, France.",False,0
Suncor Energy,http://web.archive.org/web/20220621170121/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2010/2010-12-16-suncor-energy-to-release-2011-guidance-and-strategic-growth-update-en.pdf?modified=20210902050617,if calling from North America:  1-877-240-9772,True,0
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/c8f37bc6-7e6a-480b-8afd-c78c10c51abf,The recognized goodwill is generally not expected to be deductible for tax purposes.,False,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123779&lang=en,Enbridge is currently the only major pipeline and midstream company that owns a regulated gas utility and we've further strengthened that position today by doubling the size of our GDS business.,True,0
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/6da9f65b-da04-490b-bc48-65b17c3117dc,"Series 1, 3, 5, 7, 9 and 21 preferred share dividends are payable on March 1, 2023, to shareholders of record on February 1, 2023.",True,0
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/9a94bfed-f167-4c66-b11e-f553a73ad88e,impact of such gains or losses.,False,0
Suncor Energy,http://web.archive.org/web/20220621170131/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2013/2013-07-16-suncor-energy-returns-to-full-production-at-oil-sands-operations-en.pdf?modified=20210902050732,"On June 24, Suncor announced that as a result of the precautionary shutdown of the Enbridge pipeline system within the Fort McMurray region, it had to reduce production from its oil sands operations.",True,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123731&lang=en,"Liquids Pipelines adjusted EBITDA increased $251 million compared with the second quarter of 2021, primarily related to:",True,0
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/544bde3b-6bb3-4bbd-8176-fa4fb630147a,RBC Capital Markets is acting as financial advisor to Pembina and joint bookrunner with respect to the Newco credit facilities.,True,0
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/01a33107-258e-4eda-b45e-ca942a3d976b,"Pembina reported third quarter adjusted EBITDA of $1,019 million, consistent with the same period in the prior year.",False,0
Shell Canada,http://web.archive.org/web/20170913012336/http://www.shell.ca/en_ca/media/news-and-media-releases/news-releases-2014/competition-energy-four-seven-billion.html,"That may not sound like very much, but that is four minutes, every single day, for nearly seven billion people on the planet.",True,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123753&lang=en,"the positive effect of translating U.S. dollar denominated EBITDA at a higher Canadian to U.S. dollar average exchange rate, which is partially offset in the Eliminations and Other segment as part of the Company's enterprise-wide financial risk management program.",False,0
Suncor Energy,http://web.archive.org/web/20220629123013/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2010/2010-02-02-suncor-energy-reports-financial-results-for-2009-and-operational-goals-for-2010-en.pdf?modified=20210902050540,"These factors were partially offset by higher operating expenses that resulted from the merger with Petro-Canada and the increased production at our legacy oil sands operations, increased royalty expense due to the higher benchmark crude oil prices, and a fire at one of our upgraders in December 2009 which impacted overall production in the fourth quarter of 2009 by approximately 30,000 barrels per day.",True,0
Suncor Energy,http://web.archive.org/web/20220629130101/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2009/2009-07-22-suncor-energy-releases-second-quarter-2009-results-en.pdf?modified=20210902050522,Factors that could potentially impact Suncor's operations and financial performance in 2009 include:,True,0
Imperial Oil,http://web.archive.org/web/20220729123336/https://news.imperialoil.ca/news-releases/news-releases/2022/Imperial-announces-second-quarter-2022-financial-and-operating-results/default.aspx,"The program enables the company to purchase up to a maximum of 31,833,809 common shares during the period June 29, 2022 to June 28, 2023.",True,0
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/98fa4a58-d9b0-49f9-9b4d-17a2a9f5c2a5,“Our ability to provide unique and value-added solutions to support Whitecap's development in both the Montney and Duvernay demonstrates our leading advantage and is why our customers choose us.,False,0
Suncor Energy,http://web.archive.org/web/20220701132103/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2017/2017-02-27-suncor-energy-announces-redemption-of-notes-en.pdf?modified=20210902050941,Suncor Energy announces redemption of notes,True,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123663&lang=en,"The Company continues to advance its application to contract the Canadian Mainline, which is currently being reviewed by the Canada Energy Regulator (CER).",True,0
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/d33705c1-707f-4742-9370-c976e0bc6ac0,"These forward-looking statements are not guarantees of future performance and are subject to a number of known and unknown risks and uncertainties, including, but not limited to: non-performance of agreements in accordance with their terms; the impact of competitive entities and pricing; reliance on key industry partners, alliances and agreements; the strength and operations of the oil and natural gas production industry and related commodity prices; the continuation or completion of third-party projects; regulatory environment and inability to obtain required regulatory approvals; tax laws and treatment; fluctuations in operating results; the ability of Pembina to raise sufficient capital to complete future projects and satisfy future commitments; construction delays; labour and material shortages; risks relating to widespread epidemics or pandemic outbreaks, including the COVID-19 pandemic; general economic, market and business conditions; and the behaviour of financial markets, including fluctuations in interest and exchange rates, the pricing of comparable securities and Pembina's credit ratings; and certain other risks detailed from time to time in Pembina's public disclosure documents including, among others, those detailed under the heading ""Risk Factors"" in Pembina's management's discussion and analysis and annual information form, each for the year ended December 31, 2020, each which can be found at www.sedar.com and with the U.S. Securities and Exchange Commission at www.sec.gov and available on Pembina's website at www.pembina.com.",True,0
Imperial Oil,http://web.archive.org/web/20220729123336/https://news.imperialoil.ca/news-releases/news-releases/2022/Imperial-announces-second-quarter-2022-financial-and-operating-results/default.aspx,"Cold Lake quarterly production averaged 144,000 gross barrels per day, continuing to deliver strong operating performance while also completing a planned turnaround.",True,0
Suncor Energy,http://web.archive.org/web/20220701140246/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2017/2017-01-23-suncor-energy-foundation-invests-in-enhanced-training-at-lambton-college-en.pdf?modified=20210902050935,"With a strong focus on learning innovation, Lambton College's Mobile Learning initiative, featuring an exclusive Class+ Experience, has transformed the teaching landscape, with students connecting to course materials via iPad devices, both inside and outside of the classroom.",True,0
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/544bde3b-6bb3-4bbd-8176-fa4fb630147a,"Newco assets will be included in Pembina's target of taking concrete action to achieve a 30 percent reduction in greenhouse gas emissions intensity by 2030, against a 2019 baseline.",True,1
Shell Canada,http://web.archive.org/web/20170913024309/http://www.shell.ca/en_ca/media/news-and-media-releases/news-releases-2014/quest-carbon-capture.html,"Shell Canada has set the final module at its Quest oil sands carbon capture and storage (CCS) project north of Edmonton, Alberta.",True,0
Canadian Natural Resources,https://www.cnrl.com/content/uploads/2025/01/01.22.2025-Mini-Tender.pdf,Canadian Natural does not recommend or endorse TRC Capital's unsolicited offer and has no association with TRC Capital or its offer.,False,0
Canadian Natural Resources,https://www.cnrl.com/upload/media_element/1319/03/0304-q420-front-end.pdf,"As  at  December  31,  2020,  the  Company  had  undrawn  revolving  bank  credit  facilities  of  approximately $5.0  billion.",True,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123677&lang=en,"CALGARY, AB, June 7, 2021 /CNW/ - Enbridge Inc. (Enbridge or the Company) (TSX: ENB) (NYSE: ENB) announced today that a subsidiary of Enbridge has entered into a definitive agreement to sell its 38.9% non-operating minority ownership interest in Noverco Inc. (Noverco) to Trencap L.P. for $1.14 billion in cash, net of Noverco non-recourse debt assumed by Trencap L.P.",True,0
Canadian Natural Resources,https://www.cnrl.com/content/uploads/2023/11/1102-Q323-Front-End.pdf,"Canadian  Natural's  Chief  Financial  Officer,  Mark  Stainthorpe,  added  ""During  the  third  quarter  of  2023,  our  robust business model delivered strong net earnings of over $2.3 billion, adjusted net earnings of approximately $2.9 billion and  strong  quarterly  adjusted  funds  flow  of  approximately  $4.7  billion.",True,0
Suncor Energy,http://web.archive.org/web/20220703204734/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2016/2016-02-03-suncor-energy-reports-fourth-quarter-2015-results-en.pdf?modified=20210902050855,"The offer has the support of the Boards of Directors of both companies, and expires on February 5, 2016.",True,0
Suncor Energy,http://web.archive.org/web/20221007094007/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2021/2021-09-16-nr-su-ncp-partnership-en.pdf?modified=20220907174716,'This partnership demonstrates our ability to be a strong player at the table and will allow us to fund programs that otherwise wouldn't be able to happen.,True,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123711&lang=en,"""The Cement Association of Canada (CAC) welcomes the announcement of an MOU between Lehigh Hanson and Enbridge for Lehigh's Carbon Capture Utilization and Storage project in Edmonton, Alberta.",False,0
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/f95387cc-3cdd-44c2-86fd-76b0eefbe7a7,Pembina takes great pride in consistently doing what it says it will do.,True,0
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/c8f37bc6-7e6a-480b-8afd-c78c10c51abf,"Once complete, Pembina will have three pipelines in the corridor capable of segregating and shipping various grades of crude oil, condensate and NGL.",True,0
