Organization,Link,Sentence,isWayback,Label,Generality,Approximation,Degree,Combinatory,Explicit Subjectivity,Vagueness Label
Enbridge,https://www.enbridge.com/media-center/news/details?id=123711&lang=en,Lehigh Cement and Enbridge Agree to Advance a CO2 storage solution in Alberta,True,1,a,,,,,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123687&lang=en,This issuance further demonstrates Enbridge's commitment to the ESG goals the Company set out in November 2020 and to industry leading performance.,False,1,,,,,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123700&lang=en,"About Capital Power Capital Power (TSX: CPX) is a growth-oriented North American wholesale power producer with a strategic focus on sustainable energy headquartered in Edmonton, Alberta.",True,1,,,,,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123726&lang=en,"Enbridge has long considered environmental and social factors, along with strong governance and accountability to be foundational to its success and 2021 was pivotal in this regard.",True,1,,,,,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123817&lang=en,"Luc Rémont, Chairman and CEO, EDF Group, said: ""We are very proud to inaugurate the first offshore wind farm in Normandy, less than two years after the commissioning of the Saint-Nazaire wind farm in Loire-Atlantique.",True,1,,,very,proud,,0
Imperial Oil,https://news.imperialoil.ca/news-releases/news-releases/2024/Imperial-provides-2025-corporate-guidance-outlook/default.aspx,"Imperial continues to focus on further improving its advantaged Canadian downstream business by leveraging its coast-to-coast logistics network to efficiently move product to high-value markets, maximizing refinery crude and product slate flexibility to improve resiliency and further developing its lower-carbon product offering to meet the needs of customers across Canada.",False,1,,,"high, low","improve, improving",,1
Suncor Energy,http://web.archive.org/web/20220703201606/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2017/2017-08-02-suncor-energy-extends-condolences-on-death-of-former-ceo-rick-george-en.pdf?modified=20210902050954,"Rick George encouraged the company to adopt a seven point climate action plan in the 1990s, well before many companies had begun to address the environmental impacts of their operations.",True,1,,,,,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123787&lang=en,"Enbridge has agreed to acquire seven operating landfill-to-renewable natural gas assets located in Texas and Arkansas from Morrow Renewables, reflecting our commitment to become an industry leader in RNG.",False,1,,,,,,0
Suncor Energy,http://web.archive.org/web/20221007095111/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2021/2021-05-11-h2-project-announcement-en.pdf?modified=20220907174604,"""A clean energy future is a shared national priority, and a transformational project like this one will require extraordinary collaboration with all levels of governments.",True,1,,,,,,0
Suncor Energy,http://web.archive.org/web/20221007093204/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2019/2019-10-15-nr-suncor-50m-enerkem-en.pdf?modified=20220921202949,Enerkem's facilities are built as prefabricated systems based on the company's modular manufacturing infrastructure that can be deployed globally.,True,1,,,,,,0
Canadian Natural Resources,https://www.cnrl.com/upload/media_element/1322/03/0609-oil-sands-alliance.pdf,"While alternative energy sources will play an increasingly important role in the decades ahead, all internationally recognized forecasts indicate fossil fuels will continue to be an essential requirement through 2050 and beyond as part of a diversified energy mix, including as a feedstock for carbon fibres, asphalt, plastics and other important products.",True,1,,,,,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123646&lang=en,The $9 billion Line 3 Replacement Project is a critical integrity project that will enhance the continued safe and reliable operations of our Mainline System well into the future reflecting Enbridge's commitment to protecting the environment.,True,1,,,,,,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123715&lang=en,The Hub and associated carbon capture projects being advanced by Capital Power and Lehigh Cement represent an opportunity to avoid nearly 4 million tonnes of atmospheric CO2 emissions with phased in-service dates starting as early as 2025.,True,1,,,,,,0
Canadian Natural Resources,https://www.cnrl.com/upload/media_element/1281/02/0305_q419-front-end.pdf,"In 2020, the Company is targeting an additional 1,300 controller retrofits, a reduction of approximately 130,000 tonnes of CO2 equivalent per year.",True,1,,,,,,0
Suncor Energy,http://web.archive.org/web/20220701143738/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2016/2016-07-21-suncor-releases-2016-report-on-sustainability-and-new-long-term-sustainability-goals-en.pdf?modified=20210902050913,"We will start by reducing the total emission intensity of the production of our oil and petroleum products by 30% by 2030, through focused efforts in these areas:",True,1,total,,,,our,0
Canadian Natural Resources,https://www.cnrl.com/upload/media_element/1181/06/0802_q2-18-front-end.pdf,"The project has the potential to reduce the Company's carbon emissions and environmental footprint by reducing the usage of haul trucks, the size and need for tailings ponds and accelerating site reclamation.",True,1,,,,,,1
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/60a97c1d-4e25-48b0-be91-cf80ec73166d,"Moreover, we stand shoulder-to-shoulder with our customers in ensuring Canadian energy is developed and delivered with leading environmental, social and governance (""ESG"") standards and practices in place, making it the most ethically produced energy in the world.",True,1,,,,,,1
Canadian Natural Resources,https://www.cnrl.com/upload/media_element/1322/03/0609-oil-sands-alliance.pdf,We are committed to working together with industry partners and governments to help meet Canada's climate objectives while providing sustainable longterm economic and social benefits for Canadians from the oil sands.',True,1,,,,,,1
Imperial Oil,https://news.imperialoil.ca/news-releases/news-releases/2018/Imperial-investment-in-Aspen-project-to-proceed/default.aspx,"Next-generation technology to improve economics, reduce emissions intensity and water use",True,1,,,,improve,,1
Canadian Natural Resources,https://www.cnrl.com/upload/media_element/1319/03/0304-q420-front-end.pdf,"Additionally in 2020, the Company reached significant environmental milestones, including the cumulative sequestration at our Quest facility of five million tonnes of CO2 captured from the Scotford Upgrader and the cumulative planting of two and a half million trees at our Oil Sands Mining and Upgrading operations.""",True,1,,,,,,0
Imperial Oil,116,"Imperial expects to achieve even greater reductions through the application of step-change in-situ oil recovery technology at its proposed Aspen oil sands project, which is currently under regulatory review.",True,1,,,,,,0
Canadian Natural Resources,https://www.cnrl.com/upload/media_element/1319/03/0304-q420-front-end.pdf,"The Company continues to advance its high value Montney light crude oil development plan at Wembley, including 18 net wells targeted in 2021 and construction is underway on the new crude oil battery targeted to be on-stream in October 2021.",True,1,,,,,,0
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/f95387cc-3cdd-44c2-86fd-76b0eefbe7a7,"As an example, at our Prince Rupert Terminal, Pembina invested heavily and together with the City of Prince Rupert removed a toxic and abandoned pulp mill, replacing it with a new propane export terminal.",False,1,"a, an",,"heavily, new",toxic,our,1
Imperial Oil,http://web.archive.org/web/20220908090747/https://news.imperialoil.ca/news-releases/news-releases/2022/Imperial-advances-renewable-diesel-plans-awards-hydrogen-contract-to-Air-Products/default.aspx,"We continue to set the stage for a competitive, low-carbon-intensity hydrogen network, which includes increasing liquid hydrogen production capacity at our site to 35 metric tonnes per day, to provide clean hydrogen for the growing industrial and mobility markets across Canada.""",True,1,,,,,,1
Canadian Natural Resources,https://www.cnrl.com/content/uploads/2023/03/0302-Q422-Front-End.pdf,"In 2022, we announced a new environmental target to reduce corporate scope 1 and 2 absolute GHG emissions by 40% by 2035, in addition to our other robust environmental targets.",True,1,"a, absolute",,new,,"our, we",0
Suncor Energy,http://web.archive.org/web/20220629133234/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2010/2010-09-23-suncor-energy-completes-surface-reclamation-of-first-tailings-pond-en.pdf?modified=20210902050609,"'We said we would be first to complete surface reclamation of a tailings pond and we have delivered on this important commitment,' said Rick George, president and chief executive officer.",True,1,a,,,"complete, important",we,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123665&lang=en,"The company has strong positions in offshore wind power, but also in other areas of the renewable energies industry such as energy storage.",False,1,,,,,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123687&lang=en,"This is an exciting opportunity reflecting the vital role that natural gas is expected to play in displacing higher-carbon sources of power generation, while providing reliable and affordable energy to the people of Tennessee.",False,1,an,,high,"affordable, exciting, natural, reliable",,1
Shell Canada,https://www.shell.com/news-and-insights/newsroom/news-and-media-releases/2024/shell-to-build-carbon-capture-and-storage-projects-in-canada.html,"Since 2015, Quest has captured and stored about one million tonnes a year of CO2 from the Scotford upgrader.",False,1,a,about,,,,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123689&lang=en,"""This investment is also a prime example of how we're focused on being a differentiated service provider to our customers by lowering emissions across our systems.",True,1,,,,,,1
Imperial Oil,http://web.archive.org/web/20210622082629/https://news.imperialoil.ca/news-releases/news-releases/2021/Canadas-largest-oil-sands-producers-announce-unprecedented-alliance-to-achieve-net-zero-greenhouse-gas-emissions/default.aspx,"Imperial is collaborating with others in industry and governments to develop and commercialize the breakthrough technologies that will reduce emissions and support society's net zero ambitions.""",True,1,,,,,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123665&lang=en,"Our core businesses include Liquids Pipelines, which transports approximately 25 percent of the crude oil produced in North America; Gas Transmission and Midstream, which transports approximately 20 percent of the natural gas consumed in the U.S.; Gas Distribution and Storage, which serves approximately 3.8 million retail customers in Ontario and Quebec; and Renewable Power Generation, which currently generates approximately 1,750 MW of net renewable power in North America and Europe.",False,1,,approximately,,"crude, currently, natural",,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123692&lang=en,"""After more than eight years of many people working together, extensive community engagement, and thorough environmental, regulatory and legal review, we are pleased that Line 3 is complete and will soon deliver the low cost and reliable energy that people depend on every day,"" said Al Monaco, Enbridge President and Chief Executive Officer.",False,1,,,,,,0
Imperial Oil,http://web.archive.org/web/20210622082629/https://news.imperialoil.ca/news-releases/news-releases/2021/Canadas-largest-oil-sands-producers-announce-unprecedented-alliance-to-achieve-net-zero-greenhouse-gas-emissions/default.aspx,Canada's largest oil sands producers announce unprecedented alliance to achieve net zero greenhouse gas emissions,True,1,,,largest,,,1
Shell Canada,http://web.archive.org/web/20210713152107/https://www.shell.ca/en_ca/media/news-and-media-releases/news-releases-2021/shell-proposes-large-scale-ccs-facility-in-alberta.html,"In the initial phase of Polaris, CO2 captured from the refinery's hydrogen plants would produce blue hydrogen for use in the refining process, with the potential for large-scale blue hydrogen production in future phases.",True,1,,,large,,,1
Canadian Natural Resources,https://www.cnrl.com/content/uploads/2023/12/1214-2024-Budget.pdf,"We are committed to supporting Canada's climate goals and continuing to reduce our environmental footprint with our aspirational goal of net zero greenhouse gas (""GHG"") emissions in the oil sands by 2050, along with our other robust environmental targets.",True,1,,,,,,1
Suncor Energy,http://web.archive.org/web/20221007095111/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2021/2021-05-11-h2-project-announcement-en.pdf?modified=20220907174604,"The project would produce more than 300,000 tonnes per year of clean hydrogen, reduce Alberta's CO2 emissions by more than two million tonnes per year, significantly advance Alberta's hydrogen strategy, generate substantial economic activity and jobs across the province, and make a sizable contribution to Canada's net zero ambition.",True,1,,,,,,0
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/4842329f-03f7-4fe6-9c80-1b9ee51a11cb,"Pembina recognizes the growing risks and opportunities of climate change and the role our industry must play in reducing greenhouse gas (""GHG"") emissions while supplying the world with affordable and reliable energy.",True,1,,,,,,1
Canadian Natural Resources,https://www.cnrl.com/upload/media_element/1355/02/1104-q3-press-release.pdf,"Solvent enhanced oil recovery technology is being piloted by the Company with an objective to increase bitumen production, reduce the Steam to Oil Ratio (""SOR""), reduce greenhouse gas (""GHG"") intensity and have high solvent recovery.",True,1,an,,high,,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123726&lang=en,"Enbridge was the first midstream company in Canada to commit to achieving net-zero greenhouse gas (GHG) emissions by 2050 and to help achieve this goal, the Company set the interim target of reducing its emissions intensity 35% by 2030.",False,1,,,,,,0
Suncor Energy,http://web.archive.org/web/20220629124437/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2011/2011-10-13-suncor-energy-ranked-top-canadian-firm-for-climate-change-disclosure-en.pdf?modified=20210902050639,"'Companies that make the Carbon Disclosure Leadership Index have demonstrated good internal data management practices for understanding greenhouse gas emissions,' said Paul Simpson, chief executive officer of the Carbon Disclosure Project.",True,1,,,,good,,0
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/6f2b54ba-3ce3-4d93-83b1-e2256f1103de,One of the most important decisions was to power the facility with renewable electricity from BC Hydro.,True,1,,,,,,0
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/d72081c3-751e-4116-96f5-a4709a6e88c7,"Aligning with our corporate strategy we will also continue to advance development of two transformational projects, Cedar LNG and the Alberta Carbon Grid, along with other development opportunities that support the transition to a lower-carbon economy.",False,1,,,,,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123678&lang=en,"As a leader in the energy transition, Enbridge is committed to continuing its work to lower the emission intensity of the natural gas it transports through investment in renewable natural gas and hydrogen.",False,1,,,,,,1
Shell Canada,http://web.archive.org/web/20190922083417/https://www.shell.ca/en_ca/media/news-and-media-releases/news-releases-2013/caterpillar-lng-fueling-agreement.html,"For more than 85 years, Caterpillar Inc. has been making sustainable progress possible and driving positive change on every continent.",True,1,,,,,,1
Imperial Oil,http://web.archive.org/web/20230201074801/https://news.imperialoil.ca/news-releases/news-releases/2023/Imperial-announces-fourth-quarter-2022-financial-and-operating-results/default.aspx,"This builds on Imperial's previously announced net zero goal for operated oil sands as part of the Pathways Alliance initiative, as well as the company's 2030 emission intensity reduction goal for its operated oil sands.",True,1,,,,well,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123663&lang=en,We're focused on executing world class construction and environmental practices and we've implemented the most up-to-date health and safety protocols to protect communities and our crews.,False,1,,,,,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123686&lang=en,"Our core businesses include Liquids Pipelines, which transports approximately 25 percent of the crude oil produced in North America; Gas Transmission and Midstream, which transports approximately 20 percent of the natural gas consumed in the U.S.; Gas Distribution and Storage, which serves approximately 3.8 million retail customers in Ontario and Quebec; and Renewable Power Generation, which generates approximately 1,763 MW of net renewable power in North America and Europe.",True,1,,,,,,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123638&lang=en,"This project will make a safe pipeline even safer, demonstrating our ongoing commitment to protect Michigan and the Great Lakes' natural resource.",True,1,a,,,"natural, safe",our,1
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/157b6763-25d6-4a80-855c-531233f5e32d,"Employees worked over 350,000 man hours on this project and drove over 1.8 million kilometres with no lost time injuries, yet another demonstration of Pembina's commitment to executing our growth projects safely and responsibly.""",True,1,,,,,,0
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/c23badf6-e264-4288-a177-fc1aa20c470d,"As we strive towards our vision to be the leader in delivering integrated infrastructure solutions and connecting customers to global markets, Pembina is also taking steps to reduce its environmental footprint, enhance employee equity, diversity and inclusion, and partner with Indigenous communities in the development of Canadian energy projects.",True,1,,,,,,1
Canadian Natural Resources,https://www.cnrl.com/upload/media_element/1355/02/1104-q3-press-release.pdf,"The Company targets to increase the total corporate level of third party verification of GHG emissions to 95% in 2021, an increase of 9% from 2020 levels of 87%.",True,1,,,,,,0
Imperial Oil,https://news.imperialoil.ca/news-releases/news-releases/2019/Imperial-Releases-Energy-and-Carbon-Summary/default.aspx,"Its suite of next-generation in situ oil sands technologies, currently in varying stages of development, could enable greenhouse gas emissions intensity reductions for new production between about 25 and 90 percent.",True,1,between,about,new,currently,,0
Suncor Energy,http://web.archive.org/web/20230810052510/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-07-18-news-release-suncor-energy-releases-2023-ros-and-cr-en.pdf?modified=20230718224601,"The reports highlight how the company is working to achieve strong environmental, social and governance (ESG) performance and the company's actions on sustainable energy development.",True,1,,,,,,0
Shell Canada,http://web.archive.org/web/20170606170632/http://www.shell.ca/en_ca/media/news-and-media-releases/news-releases-2017/shell-canada-statement-on-proposed-federal-regulations-on-methane-emissions.html,"Shell Canada supports controls on methane emissions and has had voluntary leak detection and repair, and preventative maintenance programs in place for many years in our Alberta and BC gas production operations.",True,1,,,,,,0
Canadian Natural Resources,https://www.cnrl.com/content/uploads/2024/06/0620-Pathways-Competition-Act-amendments.pdf,"As the largest oil sands companies in Canada, and members of the Pathways Alliance, we are steadfast in our commitment to environmental performance and operational emissions reduction.",False,1,,,largest,,"our, we",1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123784&lang=en,Enbridge CEO urges Canada to champion LNG to reduce global emissions and energy poverty,False,1,,,,,,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123788&lang=en,The project will be constructed in three phases and is designed to ultimately deliver up to 577 MW of renewable energy to the utility grid by the end of 2024.,False,1,,,,,,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123735&lang=en,"About Enbridge At Enbridge, we safely connect millions of people to the energy they rely on every day, fueling quality of life through our North American natural gas, oil or renewable power networks and our growing European offshore wind portfolio.",False,1,,,,,,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123689&lang=en,EIEC has been recently constructed to industry-leading environmental standards designed to minimize its carbon emissions footprint.,True,1,,,,,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123663&lang=en,"ESG has long been integrated into our business and strategies, and in 2020, we raised the bar again by committing to a 35% reduction in energy intensity by 2030, net-zero emissions by 2050 and setting new diversity and inclusion goals all tied to management compensation.",False,1,,,,,,0
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/4842329f-03f7-4fe6-9c80-1b9ee51a11cb,"We recently completed the construction of a co-generation facility at our Redwater Complex, which will reduce our emissions intensity, and are evaluating similar opportunities at other locations.",True,1,,,,,,1
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/8104adc4-4b32-4c2e-acfe-741cef480a87,"""We are proud to partner with Cedar LNG, the Haisla Nation and Pembina Pipeline who share our commitment to responsible energy development.""",True,1,,,,,,1
Shell Canada,http://web.archive.org/web/20170911220512/http://www.shell.ca/en_ca/media/news-and-media-releases/news-releases-2015/world-of-science-edmonton-announce-partnership.html,"CCS has been identified as a critical technology to reduce CO2 emissions from large-scale industrial facilities like power plants, oil and gas operations The International Energy Agency (IEA) calls CCS ""a crucial part of worldwide efforts to limit global warming"" and estimates that it could deliver about one-fifth of necessary worldwide reductions in greenhouse gases by 2050.",True,1,,,,,,1
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/d2d26283-c368-4f7e-96da-8672beb3affd,Our industry will continue to evolve to meet the needs of our customers and provide sustainable energy solutions for this generation and those to come.,False,1,,,,,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123736&lang=en,"""TGE will enhance Enbridge's renewable platform and accelerate our North American growth strategy,"" said Al Monaco, Enbridge's President and Chief Executive Officer.",True,1,,,,,,1
Suncor Energy,http://web.archive.org/web/20220704152831/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2009/2009-10-01-safe-resolution-to-demonstration-at-suncors-site-en.pdf?modified=20210902050526,"Since 1990, Suncor's oil sands emissions intensity has been reduced by nearly half.",True,1,,,,,,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123810&lang=en,"About Enbridge Inc.At Enbridge, we safely connect millions of people to the energy they rely on every day, fueling quality of life through our North American natural gas, oil or renewable power networks and our growing European offshore wind portfolio.",False,1,,,,,,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123816&lang=en,"Issued 23rd Sustainability Report, demonstrating the Company's continued commitment to reconciliation, social governance, and environmental stewardship.",False,1,,,,,,1
Shell Canada,http://web.archive.org/web/20170913020104/http://www.shell.ca/en_ca/media/news-and-media-releases/news-releases-2012/global-energy-firms-announce-lng-canada.html,"LNG is an odorless, non-toxic and non-corrosive liquid and evaporates quickly and disperses, leaving no residue.",True,1,,,,,,0
Shell Canada,http://web.archive.org/web/20170913013035/http://www.shell.ca/en_ca/media/news-and-media-releases/news-releases-2014/sema-1.html,"The average Shell Eco-Marathon vehicle, plus its driver, emits less carbon dioxide than a world class athlete running at 25 kilometres an hour.",True,1,,,,,,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123791&lang=en,"""As the world's demand for energy continues to grow, Enbridge remains committed to meeting these needs by delivering safe, affordable, reliable, and sustainable energy.",True,1,,,,"affordable, reliable, safe, sustainable",,1
Canadian Natural Resources,https://www.cnrl.com/upload/media_element/1322/03/0609-oil-sands-alliance.pdf,"The proposed CCUS system is similar to the multi-billion dollar Longship/Northern Lights project in Norway as well as other CCUS projects in the Netherlands, U.K. and U.S., all of which involve significant collaboration between industry and government.",True,1,,,,,,0
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/0684153a-9d56-4f5a-943c-88a4bf182e27,The Project will have one of the cleanest environmental profiles in the world.,True,1,,,,,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123670&lang=en,"With facilities across Canada and the United States the company employs more than 1100 people in environmental waste management and recovery, renewable energy, paving and construction, aggregates, and emulsions.",True,1,,,,,,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123713&lang=en,"And, we're expanding our multi-billion Texas Eastern modernization program to upgrade and electrify additional compressors, which will improve system safety and performance and drive emissions lower.",True,1,,,,,,1
Canadian Natural Resources,https://www.cnrl.com/upload/media_element/1366/c183aa1c98e7/0303-q421-front-end.pdf,"Environmental, Social and Governance (""ESG"") remains a priority for us as evidenced by our ongoing investment into new technology and innovation options designed to improve our environmental performance and reduce our environmental footprint.",True,1,,,,,,1
Suncor Energy,http://web.archive.org/web/20220629124437/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2011/2011-10-13-suncor-energy-ranked-top-canadian-firm-for-climate-change-disclosure-en.pdf?modified=20210902050639,"Some 3,000 organizations across the world's largest economies now measure and disclose their greenhouse gas emissions and assessment of climate change risk and opportunity through CDP, in order that they can set reduction targets and make performance improvements.",True,1,,,,,,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123753&lang=en,This approach to financing reinforces Enbridge's continuing commitment to achieving the ESG targets it set out in its November 2020 ESG Goals.,False,1,,,,,,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123670&lang=en,"Today, Enbridge Inc. (Enbridge) (TSX: ENB) (NYSE: ENB), Walker Industries and Comcor Environmental, announced a partnership to jointly develop renewable natural gas (RNG) projects across Canada.",False,1,,,,,,0
Shell Canada,http://web.archive.org/web/20170913030336/http://www.shell.ca/en_ca/media/news-and-media-releases/news-releases-2012/auxsable-carbon.html,"""That's equal to taking about 25,000 cars off the road,"" said Barry Klein, Scotford Manufacturing general manager, adding the deal between Shell and Aux Sable will see that kind of positive environmental impact annually.",True,1,between,,,positive,,0
